name,ats,slug,source_url
PagerDuty,greenhouse,pagerduty,https://job-boards.greenhouse.io/pagerduty/jobs/
Pendo,greenhouse,pendo,https://job-boards.greenhouse.io/pendo/jobs/
Postman,greenhouse,postman,https://job-boards.greenhouse.io/postman/jobs/
Scale AI,greenhouse,scaleai,https://job-boards.greenhouse.io/scaleai/jobs/
Tanium,greenhouse,tanium,https://job-boards.greenhouse.io/tanium/jobs/
Vox Media,greenhouse,voxmedia,https://job-boards.greenhouse.io/embed/job_app?for=voxmedia
Palantir,lever,palantir,https://jobs.lever.co/palantir/
Spotify,lever,spotify,https://jobs.lever.co/spotify/
HP,workday,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/
Samsung,workday,https://sec.wd3.myworkdayjobs.com/Samsung_Careers,https://sec.wd3.myworkdayjobs.com/Samsung_Careers/
Sony,workday,https://sonyglobal.wd1.myworkdayjobs.com/SonyGlobalCareers,https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/
Avoca AI,ashby,avoca,https://www.avoca.ai/careers
Lenovo,avature,https://jobs.lenovo.com/en_US/careers,https://jobs.lenovo.com/en_US/careers/
Lyft,greenhouse,lyft,https://app.careerpuck.com/job-board/lyft
Abnormal AI,greenhouse,abnormalsecurity,https://abnormal.ai/careers/jobs/
Brex,greenhouse,brex,https://www.brex.com/careers/
Cockroach Labs,greenhouse,cockroachlabs,https://www.cockroachlabs.com/careers/jobs/
Cribl,greenhouse,cribl,https://cribl.io/job-detail/
Datadog,greenhouse,datadog,https://careers.datadoghq.com/detail/
DigitalOcean,greenhouse,digitalocean98,https://www.digitalocean.com/careers/
Dropbox,greenhouse,dropbox,https://www.dropbox.jobs/en/jobs
Fivetran,greenhouse,fivetran,https://www.fivetran.com/careers/job
Flatiron Health,greenhouse,flatironhealth,https://flatiron.com/careers/open-positions/
Guild,greenhouse,guild,https://guild.com/open-positions-at-guild
HubSpot,greenhouse,hubspotjobs,https://www.hubspot.com/careers/jobs/
Nuro,greenhouse,nuro,https://www.nuro.ai/careers
Red Ventures,greenhouse,redventures,https://www.redventures.com/careers/positions/open
Samsara,greenhouse,samsara,https://www.samsara.com/company/careers/roles/
Squarespace,greenhouse,squarespace,https://www.squarespace.com/careers/jobs/
TRM Labs,ashby,trm-labs,https://www.trmlabs.com/careers
Wiz,greenhouse,wizinc,https://www.wiz.io/careers
Zipline,greenhouse,flyzipline,https://www.zipline.com/open-roles
GitHub,jibe,https://githubinc.jibeapply.com,https://githubinc.jibeapply.com/jobs/
Dell,oracle,https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers,https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/
HDFC Bank,oracle,https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/LateralHiring,https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/LateralHiring/
JPMorgan Chase,oracle,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/
CVS Health,workday,https://cvshealth.wd1.myworkdayjobs.com/CVS_Health_Careers,https://jobs.cvshealth.com/us/en/
Walmart,workday,https://walmart.wd504.myworkdayjobs.com/WalmartExternal,https://careers.walmart.com/us/en/jobs/
AT&T,workday,https://att.wd1.myworkdayjobs.com/ATTGeneral,https://www.att.jobs/
Citi,workday,https://citi.wd5.myworkdayjobs.com/2,https://jobs.citi.com/
