company,ats,token,site,host,board_url,api_url,api_method,status,notes
PagerDuty,greenhouse,pagerduty,,boards-api.greenhouse.io,https://job-boards.greenhouse.io/pagerduty/jobs/,https://boards-api.greenhouse.io/v1/boards/pagerduty/jobs?content=true,GET,confirmed,
Pendo,greenhouse,pendo,,boards-api.greenhouse.io,https://job-boards.greenhouse.io/pendo/jobs/,https://boards-api.greenhouse.io/v1/boards/pendo/jobs?content=true,GET,confirmed,
Postman,greenhouse,postman,,boards-api.greenhouse.io,https://job-boards.greenhouse.io/postman/jobs/,https://boards-api.greenhouse.io/v1/boards/postman/jobs?content=true,GET,confirmed,
Scale AI,greenhouse,scaleai,,boards-api.greenhouse.io,https://job-boards.greenhouse.io/scaleai/jobs/,https://boards-api.greenhouse.io/v1/boards/scaleai/jobs?content=true,GET,confirmed,
Tanium,greenhouse,tanium,,boards-api.greenhouse.io,https://job-boards.greenhouse.io/tanium/jobs/,https://boards-api.greenhouse.io/v1/boards/tanium/jobs?content=true,GET,confirmed,
Vox Media,greenhouse,voxmedia,,boards-api.greenhouse.io,https://job-boards.greenhouse.io/embed/job_app?for=voxmedia,https://boards-api.greenhouse.io/v1/boards/voxmedia/jobs?content=true,GET,confirmed,
Palantir,lever,palantir,,api.lever.co,https://jobs.lever.co/palantir/,https://api.lever.co/v0/postings/palantir?mode=json,GET,confirmed,
Spotify,lever,spotify,,api.lever.co,https://jobs.lever.co/spotify/,https://api.lever.co/v0/postings/spotify?mode=json,GET,confirmed,
HP,workday,hp,ExternalCareerSite,hp.wd5.myworkdayjobs.com,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/,https://hp.wd5.myworkdayjobs.com/wday/cxs/hp/ExternalCareerSite/jobs,POST,confirmed,"POST with JSON body {""appliedFacets"":{},""limit"":20,""offset"":0,""searchText"":""""}"
Samsung,workday,sec,Samsung_Careers,sec.wd3.myworkdayjobs.com,https://sec.wd3.myworkdayjobs.com/Samsung_Careers/,https://sec.wd3.myworkdayjobs.com/wday/cxs/sec/Samsung_Careers/jobs,POST,confirmed,"POST with JSON body {""appliedFacets"":{},""limit"":20,""offset"":0,""searchText"":""""}"
Sony,workday,sonyglobal,SonyGlobalCareers,sonyglobal.wd1.myworkdayjobs.com,https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/,https://sonyglobal.wd1.myworkdayjobs.com/wday/cxs/sonyglobal/SonyGlobalCareers/jobs,POST,confirmed,"POST with JSON body {""appliedFacets"":{},""limit"":20,""offset"":0,""searchText"":""""}"
Avoca AI,ashby,avoca,,www.avoca.ai,https://www.avoca.ai/careers,https://api.ashbyhq.com/posting-api/job-board/avoca?includeCompensation=true,GET,unverified,custom front-end; candidate token needs probing
Lenovo,avature,lenovo,,jobs.lenovo.com,https://jobs.lenovo.com/en_US/careers/,,GET,unverified,Avature — JSON via ?jobOffset= paging on SearchJobs endpoints
Lyft,careerpuck,lyft,,app.careerpuck.com,https://app.careerpuck.com/job-board/lyft,,GET,unverified,CareerPuck wrapper over Greenhouse; try /job-board/lyft/jobs.json or the GH board
Abnormal AI,greenhouse,abnormalsecurity,,abnormal.ai,https://abnormal.ai/careers/jobs/,https://boards-api.greenhouse.io/v1/boards/abnormalsecurity/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Brex,greenhouse,brex,,www.brex.com,https://www.brex.com/careers/,https://boards-api.greenhouse.io/v1/boards/brex/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Cockroach Labs,greenhouse,cockroachlabs,,www.cockroachlabs.com,https://www.cockroachlabs.com/careers/jobs/,https://boards-api.greenhouse.io/v1/boards/cockroachlabs/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Cribl,greenhouse,cribl,,cribl.io,https://cribl.io/job-detail/,https://boards-api.greenhouse.io/v1/boards/cribl/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Datadog,greenhouse,datadog,,careers.datadoghq.com,https://careers.datadoghq.com/detail/,https://boards-api.greenhouse.io/v1/boards/datadog/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
DigitalOcean,greenhouse,digitalocean,,www.digitalocean.com,https://www.digitalocean.com/careers/,https://boards-api.greenhouse.io/v1/boards/digitalocean/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Dropbox,greenhouse,dropbox,,www.dropbox.jobs,https://www.dropbox.jobs/en/jobs,https://boards-api.greenhouse.io/v1/boards/dropbox/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Fivetran,greenhouse,fivetran,,www.fivetran.com,https://www.fivetran.com/careers/job,https://boards-api.greenhouse.io/v1/boards/fivetran/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Flatiron Health,greenhouse,flatironhealth,,flatiron.com,https://flatiron.com/careers/open-positions/,https://boards-api.greenhouse.io/v1/boards/flatironhealth/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Guild,greenhouse,guildeducation,,guild.com,https://guild.com/open-positions-at-guild,https://boards-api.greenhouse.io/v1/boards/guildeducation/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
HubSpot,greenhouse,hubspot,,www.hubspot.com,https://www.hubspot.com/careers/jobs/,https://boards-api.greenhouse.io/v1/boards/hubspot/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Nuro,greenhouse,nuro,,www.nuro.ai,https://www.nuro.ai/careers,https://boards-api.greenhouse.io/v1/boards/nuro/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Red Ventures,greenhouse,redventures,,www.redventures.com,https://www.redventures.com/careers/positions/open,https://boards-api.greenhouse.io/v1/boards/redventures/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Samsara,greenhouse,samsara,,www.samsara.com,https://www.samsara.com/company/careers/roles/,https://boards-api.greenhouse.io/v1/boards/samsara/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Squarespace,greenhouse,squarespace,,www.squarespace.com,https://www.squarespace.com/careers/jobs/,https://boards-api.greenhouse.io/v1/boards/squarespace/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
TRM Labs,greenhouse,trmlabs,,www.trmlabs.com,https://www.trmlabs.com/careers,https://boards-api.greenhouse.io/v1/boards/trmlabs/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Wiz,greenhouse,wizinc,,www.wiz.io,https://www.wiz.io/careers,https://boards-api.greenhouse.io/v1/boards/wizinc/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
Zipline,greenhouse,zipline,,www.zipline.com,https://www.zipline.com/open-roles,https://boards-api.greenhouse.io/v1/boards/zipline/jobs?content=true,GET,unverified,custom front-end; candidate token needs probing
GitHub,jibe,githubinc,,githubinc.jibeapply.com,https://githubinc.jibeapply.com/jobs/,,GET,unverified,Jibe/Radancy — no documented public JSON; scrape or use sitemap
Dell,oracle_hcm,,careers,enterpriseplatform.dell.com,https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/,"https://enterpriseplatform.dell.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&expand=requisitionList.workLocation&finder=findReqs;siteNumber=careers,limit=200,offset=0",GET,needs_site_number,siteNumber (e.g. CX_1) required in finder; read it off the careers page network tab
Home Depot,oracle_hcm,,LateralHiring,hdpc.fa.us2.oraclecloud.com,https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/LateralHiring/,"https://hdpc.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&expand=requisitionList.workLocation&finder=findReqs;siteNumber=LateralHiring,limit=200,offset=0",GET,needs_site_number,siteNumber (e.g. CX_1) required in finder; read it off the careers page network tab
JPMorgan Chase,oracle_hcm,,,jpmc.fa.oraclecloud.com,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/,"https://jpmc.fa.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&expand=requisitionList.workLocation&finder=findReqs;siteNumber=SITE_NUMBER,limit=200,offset=0",GET,needs_site_number,siteNumber (e.g. CX_1) required in finder; read it off the careers page network tab
CVS Health,phenom,cvshealth,,jobs.cvshealth.com,https://jobs.cvshealth.com/us/en/,,GET,unverified,Phenom People — check /widgets endpoint or search API
Walmart,phenom,walmart,,careers.walmart.com,https://careers.walmart.com/us/en/jobs/,,GET,unverified,Phenom People — check /api/search or /widgets
AT&T,radancy,att,,www.att.jobs,https://www.att.jobs/,,GET,unverified,Radancy TalentBrew — sitemap-driven scrape
Citi,radancy,citi,,jobs.citi.com,https://jobs.citi.com/,,GET,unverified,Radancy TalentBrew — sitemap-driven scrape
